COUNTRY,population_growth_rate_raw,infant_mortality_raw,g_norm,m_norm,DPI_R
MONTENEGRO,0.43,3.2,0.18454935622317595,0.09937888198757763,4.315494120106598
NETHERLANDS,0.36,3.34,0.15450643776824033,0.10372670807453414,3.626157114147155
NEW ZEALAND,0.92,3.6,0.3948497854077253,0.11180124223602483,11.96694740214971
NORTH MACEDONIA,0.11,7.16,0.047210300429184546,0.22236024844720495,4.504921217227726
NORWAY,0.79,2.28,0.33905579399141633,0.07080745341614905,8.864165987326384
PACIFIC OCEAN,0.0,0.0,0.0,0.0,0.0
POLAND,0.28,4.1,0.1201716738197425,0.12732919254658384,3.3334856900316345
PORTUGAL,0.17,2.47,0.07296137339055794,0.0767080745341615,1.478093622089365
ROMANIA,1.01,5.65,0.4334763948497854,0.17546583850931677,15.352727660857887
RUSSIA,0.24,6.33,0.10300429184549356,0.196583850931677,4.721073297731423
SERBIA,0.63,4.6,0.27038626609442057,0.14285714285714282,7.937597593827546
SLOVAKIA,0.13,5.3,0.055793991416309016,0.16459627329192544,3.04511937604446
SLOVENIA,0.08,1.5,0.034334763948497854,0.046583850931677016,0.5533080334495082
SOUTHERN OCEAN,0.0,0.0,0.0,0.0,0.0
SPAIN,0.12,2.4,0.05150214592274678,0.07453416149068322,1.1356341560110081
SWEDEN,0.51,2.3,0.21888412017167383,0.07142857142857141,4.774863620721728
SWITZERLAND,0.78,3.0,0.33476394849785407,0.09316770186335403,9.133809731036614
TAIWAN,0.03,3.9,0.012875536480686695,0.12111801242236024,1.5939802939301275
TURKEY (TURKIYE),0.64,18.9,0.27467811158798283,0.5869565217391304,26.49100003115437
UKRAINE,2.33,9.0,1.0,0.2795031055900621,53.64874012610903
UNITED KINGDOM,0.49,3.8,0.21030042918454936,0.11801242236024843,5.434771961997164
UNITED STATES,0.68,5.1,0.2918454935622318,0.15838509316770183,9.094129116412837
VIETNAM,0.93,14.4,0.39914163090128757,0.44720496894409933,24.553962176441583
WORLD,1.03,30.8,0.44206008583690987,0.9565217391304347,58.328445783039115
